Bucket	WT	ilvG
6,375	0,00027339	0,00014883
6,345	0,0003743	0,00015504
6,315	0,00039632	0,00039302
6,285	0,00009129	0,00003767
6,255	0,00004594	0,00026131
6,225	0,00016539	0,00010464
6,195	0,03277268	0,02617874
6,165	0,00012645	0,00017899
6,135	0,00007234	0,00006332
6,105	0,0001647	0,00000641
6,075	0,00005855	0,0000294
6,045	0,00036381	0,00030474
6,015	0,00041328	0,00082338
5,985	0,00043625	0,00016426
5,955	0,00052556	0,00079246
5,925	0,00022483	0,00029572
5,895	0,00003347	0
5,865	0,00004464	0,00001316
5,835	0,00007911	0,0000044
5,805	0,00174423	0,00300779
5,775	0,00000568	0
5,745	0	0
5,715	0,00000047	0
5,685	0,00002393	0,00003891
5,655	0,00007966	0,00000789
5,625	0,00088036	0,00009042
5,595	0,00001749	0
5,565	0,00000048	0,00000449
5,535	0,00000221	0
5,505	0,00001784	0
5,475	0,00127159	0,00067747
5,445	0,01734293	0,01466516
5,415	0,00070391	0,00008911
5,385	0,00017786	0,00005639
5,355	0,00015565	0
5,325	0,00039282	0
5,295	0,00050015	0,00031148
5,265	0,00132453	0,00014548
5,235	0,0039248	0,00240596
5,205	0,00519592	0,0016052
5,175	0,01040489	0,00441037
5,145	0,01185004	0,01606397
5,115	0,01902351	0,02629255
5,085	0	0
5,055	0	0
5,025	0	0
4,995	0	0
4,965	0	0
4,935	0	0
4,905	0	0
4,875	0	0
4,845	0	0
4,815	0	0
4,785	0	0
4,755	0	0
4,725	0	0
4,695	0,00015213	0,00064682
4,665	0,00000252	0,00023384
4,635	0	0,00007121
4,605	0,00000814	0,00040443
4,575	0,00008226	0,00047387
4,545	0,00023388	0,0000868
4,515	0,00001363	0,00073538
4,485	0	0,00005827
4,455	0,00000366	0,00006733
4,425	0	0,00014673
4,395	0,00503474	0,00745161
4,365	0,00001731	0,00023299
4,335	0	0,00035957
4,305	0	0,00001317
4,275	0,00029181	0,00035147
4,245	0,00903813	0,00659793
4,215	0,00324577	0,00333203
4,185	0,00035224	0,00151671
4,155	0,0022565	0,00186808
4,125	0,00893959	0,00546654
4,095	0,00073265	0,00134735
4,065	0,00032148	0,00066027
4,035	0,00821309	0,01092226
4,005	0,00224005	0,00242403
3,975	0,00127467	0,00188145
3,945	0,00123564	0,00240822
3,915	0,00182352	0,00239993
3,885	0,02478822	0,02501972
3,855	0,00815179	0,00684407
3,825	0,00543992	0,00504967
3,795	0,01533081	0,00594331
3,765	0,00478777	0,00793774
3,735	0,00498433	0,00603357
3,705	0,00248809	0,00297435
3,675	0,12350794	0,11830461
3,645	0,03096817	0,03086441
3,615	0,00305586	0,00332466
3,585	0,00494437	0,00478532
3,555	0,0037219	0,00412308
3,525	0,00306362	0,00241303
3,495	0,00175717	0,00198336
3,465	0,00177196	0,00205878
3,435	0,00340274	0,0039645
3,405	0,00553506	0,00533179
3,375	0,01203191	0,01525518
3,345	0,00267571	0,00271331
3,315	0,00003971	0,00000853
3,285	0,00022224	0,00039771
3,255	0,00089829	0,00098528
3,225	0,00040458	0,00055134
3,195	0,01676541	0,0165533
3,165	0,00458195	0,00477131
3,135	0,0020434	0,00295959
3,105	0,00005926	0,00004546
3,075	0,00004145	0,0000406
3,045	0,00011675	0,00006008
3,015	0,00462507	0,0026527
2,985	0,00557998	0,00326649
2,955	0,00002492	0,00003006
2,925	0,00002788	0,00002541
2,895	0,00614159	0,0064861
2,865	0,00088518	0,00091203
2,835	0,00023815	0,00028787
2,805	0,00661159	0,00313787
2,775	0,00371274	0,00213113
2,745	0,00045297	0,00041516
2,715	0,00576677	0,00621409
2,685	0,01525162	0,01334992
2,655	0,00461362	0,00318715
2,625	0,00029758	0,00036931
2,595	0,00216973	0,00238783
2,565	0,03577241	0,03593801
2,535	0,00162255	0,00254996
2,505	0,04101352	0,04131881
2,475	0,01263655	0,01022016
2,445	0,00887104	0,00641505
2,415	0,00093571	0,00097028
2,385	0,00062267	0,00048714
2,355	0,00064663	0,00242849
2,325	0,00061345	0,0010334
2,295	0,00266856	0,00241566
2,265	0,0013293	0,00135754
2,235	0,00607975	0,00595684
2,205	0,00671045	0,00313784
2,175	0,00868671	0,00568424
2,145	0,0036904	0,00494712
2,115	0,00246139	0,00383807
2,085	0,00264271	0,00467458
2,055	0,0048902	0,00757104
2,025	0,02682052	0,02967606
1,995	0,00429953	0,00278717
1,965	0,00048721	0,00023378
1,935	0,37831949	0,00912829
1,905	0,00594259	0,00100243
1,875	0,00290858	0,00280343
1,845	0,00307971	0,00075212
1,815	0,00058287	0,00016506
1,785	0,00104488	0,0007492
1,755	0,00052945	0,00040774
1,725	0,00044147	0,00015876
1,695	0,00036317	0,00019585
1,665	0,00043187	0,00044927
1,635	0,00223535	0,00114538
1,605	0,00139978	0,00113177
1,575	0,0013294	0,0011332
1,545	0,00378678	0,00276902
1,515	0,0014377	0,00034775
1,485	0,00074549	0,00043816
1,455	0,00194373	0,00147029
1,425	0,00052168	0,00023527
1,395	0,00194111	0,0017298
1,365	0,00124445	0,00170328
1,335	0,00186192	0,00260432
1,305	0,00132905	0,0010438
1,275	0,00125259	0,00153502
1,245	0,04084764	0,00506495
